handle,text,link,date
elon,"Happy birthday to little D! Best Italian wine? (Region/type, not necessarily vineyard.)",,2022-03-06T06:57:23.000Z
elon,Here’s another good one — the words for olive and oil are cognates so “olive oil” is redundant in the same way. Truly the OG oil.,,2022-03-06T06:34:51.000Z
elon,"Just heard the charismatic mayor of Athens express full solidarity with Ukraine (at a rally in Florence, where he attended a conference of mayors).",,2022-02-27T20:04:08.000Z
elon,"You should listen to the Daily episode on Putin’s speech “A knife to the throat.” Told Russians an unfriendly Ukraine could launch a missile that would hit Moscow in four minutes. Sadly I know Russians who believe this. Also believe it’s precision military op, no civilians hurt.",,2022-02-27T19:55:09.000Z
elon,A lot more worried about and focused on propaganda that helps autocrats than union politics.,,2022-02-27T17:57:29.000Z
elon,"Terrible take. He makes his views public, they’re fair game. Most of us would say he can’t see what’s happening clearly. He can keep his views to himself or take the criticism.",,2022-02-27T17:48:16.000Z
elon,Hear hear,,2022-02-03T10:08:44.000Z
elon,,,2021-10-15T08:58:38.000Z
elon,"@SlateGabfest Chatter re true crime, fascinated by Suspect which could be subtitled Nice White Policemen (and Prosecutors) — shocking racial bias even among laid-back Northwesterner law enforcement. Also v revealing re problems w/touch DNA.",,2021-09-25T18:10:12.000Z
elon,Sea plane to Whistler is amazing,,2021-09-06T18:18:59.000Z
elon,"According to a feature on This American Life, it would have worked if you’d been on a beta blocker while facing your fear.",https://t.co/dXOk1klVYA,2021-09-06T08:48:26.000Z
elon,@firenzeataf È vero che gli autisti dei piccoli autobus (linea C4) non possono aprire la porta davanti per quelli con passeggini? Anche solo per farli passare all’area dietro la catena? Fa la vita molto difficile per noi e per gli altri passaggeri!,,2021-08-30T07:27:09.000Z
elon,"If Americans knew how much better a society can handle childcare (like they do here in Italy), they’d be shocked.",,2021-05-28T18:40:54.000Z
elon,"Paper seems to draw no distinction between elem school and high school so doesn’t refute the tweet about elem schools opening safely. Research out of Europe, where schools for younger children stayed open when schools for older children did not, will shed more light on this q.",,2021-05-10T11:57:21.000Z
elon,"It’s not even that there are any gotcha questions, it’s that when you see her sentences and thoughts written out, it’s painfully obvious she uses language to evade, cudgel and bully, not to grapple with complexity, engage respectfully and persuade. Dismal.",,2021-02-07T07:45:20.000Z
elon,"Wild to think how many Marin culturati adore this cityscape, every part of which would NEVER get built in Marin! #yimby all the way from #firenze @aceckhouse @theGreaterMarin @anniefryman",,2021-01-29T22:01:29.000Z
elon,"Grazie Sindaco! Con l’aumento di ingressi alle scuole per sicurezza Covid, risulta che alcuni nuovi sono vicini ad incroci molto trafficati — come potremmo richiedere aiuto per calmare/reggere il traffico a questi ingressi almeno alle ore di ingresso/uscita scuola? Grazie!",,2021-01-21T10:53:03.000Z
elon,Do you know about Karin Sigloch’s amazing research uncovering the island arcs that became California?,,2021-01-17T09:40:15.000Z
elon,"This firsthand account of the assault on the Capitol from Rep. Abigail Spanberger is so gripping and so upsetting. Together with AOC's Instagram Live last night, a must-listen. https://podcasts.apple.com/us/podcast/firsthand-account-capitol-insurrection-rep-abigail/id1286906615?i=1000505170027…",,2021-01-13T09:37:57.000Z
elon,"I think cynicism is a smug refuge that doesn’t solve the problem of uniting and governing a country. And pretending there are two ideological extremes, not one huge gamut that accepts democracy and an extreme that wants a Trump autocracy, misses the moment.",,2021-01-07T07:46:22.000Z
elon,"What “extremists” on the left in America are possibly comparable to the conspiracy-touting, democracy-demolishing extremists on the right?",,2020-11-22T20:53:50.000Z
elon,Learn about SF’s amazing geology if you haven’t already. Great Google Earth-based tours here:,https://t.co/u4zAL34TeU,2020-11-22T12:49:28.000Z
elon,Feeling great here in Italy!,,2020-11-07T16:39:31.000Z
elon,Italy did something like this 5 years ago:,,2020-11-01T04:45:49.000Z
elon,"National mask mandates in Europe haven’t prevented new surges, unfortunately.",,2020-10-25T07:15:09.000Z
elon,Loved it. Struck by your point that the federal govt pours resources into highways — and why shouldn’t housing writ large also get support on that scale?,,2020-09-07T20:45:25.000Z
elon,Look forward to your article! Here’s a time lapse video I took from Twin Peaks.,,2020-08-16T19:37:57.000Z
elon,The Covid package is our last bit of leverage before the election — don’t let leadership go wobbly on USPS and other voting protections!,,2020-08-04T17:35:33.000Z
elon,Not a strong habit but recording a voice memo every week is pretty easy.,,2020-07-19T05:17:07.000Z
elon,,,2020-06-23T14:46:58.000Z
elon,A map of central Marin that superimposes or highlights remnants of the old rail routes,,2020-06-20T15:35:08.000Z
elon,What do I know but I think CA's inability to govern itself in the common interest means that the mounting legitimacy crisis on the federal level (see Patrick Wyman's latest newsletter) will extend to many states as well.,,2020-06-18T21:54:09.000Z
elon,Read @chrislhayes on the subject. His reductio-ad-absurdum of an op-ed calling for the detention of journalists covering riots shows the subjectivity in where the line is drawn — most convincing argument for why Cotton's shouldn't have been published.,,2020-06-04T23:37:29.000Z
elon,https://apps.apple.com/us/app/seek-by-inaturalist/id1353224144…,,2020-06-03T03:37:04.000Z
elon,The fireplots are cool but strange that you can’t see how much more serious the situation was in Lombardy than elsewhere.,,2020-06-01T05:56:31.000Z
elon,"So beautiful, so emotional (and seemingly superhuman). Something new compared to artificially lit concert halls — the changing light of the world as day turned to evening.  The aria first with the enthusiasm of day, finally with the melancholy of evening.  Thank you.",,2020-05-02T19:07:17.000Z
elon,,,2020-04-28T20:17:37.000Z
elon,"Michelle Goldberg pointed out some very weird pro-Russia comments from Reade, yet didn’t dismiss the allegation. I find myself uncertain what to think though the Larry King call does seem corroborating. Why didn’t she raise this months ago though? Trump benefits now.",,2020-04-26T00:16:11.000Z
elon,@JaredHuffman Please stand up for your constituents and play some hardball!,,2020-04-21T19:56:26.000Z
elon,Love your tweets but if this is a real emergency why aren’t you calling for Congress to get back in session and/or adopt remote-voting procedures? Cannot tell you how disappointed I am in the Speaker.,,2020-04-04T16:59:21.000Z
elon,Maybe Biden can win if Democrats INSIST on early voting and vote-by-mail in the next stimulus package. If not...,,2020-04-02T16:09:59.000Z
elon,"Great article, but really want to understand what a society with levels of unemployment we’ve never seen might look/feel like. Some of those estimates are DRC levels of unemployment.",,2020-04-02T15:33:15.000Z
elon,"Why can’t any Democratic leader other than AOC effectively communicate anger over Trump’s outrages? Pelosi and Schumer top out, as @whstancil says, at mild scolding.",,2020-03-29T03:17:25.000Z
elon,https://nymag.com/intelligencer/2020/03/angela-merkel-nails-coronavirus-speech-unlike-trump.html…,,2020-03-20T19:28:23.000Z
elon,"Youth-culture rallies made sense when he was an insurgent; as frontrunner, he needed validators + earned media. SC was a mack truck visible from a mile away but candidate + campaign went full speed ahead on rallies, often several a day.",,2020-03-18T19:20:36.000Z
elon,Right there with you. Time to form a team to fight the zombies. Can’t be long now.,,2020-03-18T06:01:24.000Z
elon,What do we do when the political system set up by the Constitution consistently results in demented sociopaths rising to positions of power?,,2020-03-15T07:01:54.000Z
elon,"@krystalball Usually like your perspective, but wishing for a more authoritarian Trump?!?! “Rather than [Trump] going into the authoritarian mode, which is kind of where I hoped he’d go with all of this, he’s instead gone into conspiracy theorizing...”",,2020-03-12T22:27:45.000Z
elon,"@marysdesk Hi Mary, could you do an episode on the credit markets? After seeing this Roubini interview I realized I know nothing about them, but probably should: https://cnbc.com/video/2020/03/09/there-will-be-a-recession-due-to-coronavirus-says-nouriel-roubini.html…",,2020-03-10T05:14:35.000Z
elon,Italian data are not reassuring — 148 deaths/3858 cases = 3.8%:,https://t.co/rmxZWpbRph,2020-03-05T18:27:44.000Z
